gene_id,S2-12h,S2-24h,S2-Oh,S3-12h,S3-24h,S3-Oh,W2-12h,W2-24h,W2-Oh,W3-12h,W3-24h,W3-Oh
gene:Zm00001d035300,71,68,230,340,108,577,151,13,203,113,382,312
gene:Zm00001d035306,11,16,50,33,59,10,15,39,17,7,18,23
gene:Zm00001d035304,2290,2885,8083,6687,3659,5905,5238,2207,6989,2005,6458,7693
gene:Zm00001d035309,703,1107,1544,540,692,654,785,1201,695,414,1113,982
gene:Zm00001d035308,1722,4247,6516,3587,3998,3909,2695,3065,3124,930,3228,3513
gene:Zm00001d031688,1541,2203,3202,4256,2654,2663,3720,2325,3494,1781,4622,4724
gene:Zm00001d031689,1682,991,4461,3464,2860,4532,1927,1352,2199,787,2321,2668
gene:Zm00001d031682,12,113,109,0,11,13,57,36,39,26,104,84
gene:Zm00001d029422,7066,6061,8765,11981,7937,9013,3970,3825,3333,3319,8775,6272
gene:Zm00001d031680,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d029420,3934,6209,7271,3674,5191,4162,664,966,2207,2661,3871,4146
gene:Zm00001d029427,23,18,12,71,51,23,19,4,58,6,59,26
gene:Zm00001d029426,3252,2890,4428,3174,2929,3273,2318,3285,2013,1631,3561,3131
gene:Zm00001d029425,0,0,9,0,5,4,0,0,6,3,3,2
gene:Zm00001d029424,405,585,1437,189,610,966,189,244,521,115,236,470
gene:Zm00001d025557,5758,8686,10162,7305,5679,5037,7902,6736,6774,2755,6892,6278
gene:Zm00001d025556,18,0,12,0,0,0,3,0,0,0,0,0
gene:Zm00001d025554,0,0,4,0,0,0,0,0,0,0,0,0
gene:Zm00001d025552,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d025551,24504,30242,42502,37071,31176,26667,30255,27397,29652,15290,36527,31964
gene:Zm00001d025550,0,36,4,176,4,0,110,70,63,0,121,224
gene:Zm00001d004655,485,605,712,863,572,797,929,361,611,326,798,931
gene:Zm00001d025559,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d025558,9,22,3,0,9,0,2,4,0,12,0,4
gene:Zm00001d030379,374,237,381,346,167,268,384,147,107,161,138,162
gene:Zm00001d030375,0,0,0,0,0,0,0,0,9,0,0,0
gene:Zm00001d030374,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d030376,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d030370,90,209,6,143,203,305,128,127,121,165,997,824
gene:Zm00001d030373,10571,17794,35057,25634,16576,22692,15432,13655,24560,6994,21978,22472
gene:Zm00001d030372,59,191,57,121,90,243,226,321,283,136,238,236
gene:Zm00001d007337,0,0,0,4,0,0,0,0,0,0,0,0
gene:Zm00001d007335,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d007334,20,2,40,56,20,28,2,0,4,0,35,0
gene:Zm00001d031979,986,1710,2961,862,1014,888,1076,1264,955,598,1099,1337
gene:Zm00001d031974,4,0,5,5,1,0,1,2,0,0,1,0
gene:Zm00001d031975,2055,3195,7055,4255,2635,4784,4049,2076,4537,1904,3938,5536
gene:Zm00001d031976,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d031977,334,447,712,438,354,380,457,476,404,228,570,600
gene:Zm00001d031970,745,680,1655,737,678,845,911,844,685,611,852,982
gene:Zm00001d031971,1498,1554,2744,2171,1381,2514,2033,1270,1520,1001,1482,1787
gene:Zm00001d031972,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d007332,0,0,0,0,0,0,0,0,0,0,0,0
gene:Zm00001d037688,136,65,534,446,160,318,151,34,163,40,157,77
gene:Zm00001d037689,7670,55006,16851,9031,24679,5581,3321,19176,3277,2239,13601,4314
gene:Zm00001d037684,6733,9558,19208,5049,3651,5576,18412,24625,20906,9240,16935,19948
gene:Zm00001d037685,0,0,4,0,0,8,0,0,0,0,0,0
gene:Zm00001d037686,0,0,3,0,0,0,0,0,0,0,0,0
